topic_id,date,topic_order,title,section_type
2024-05-07-T-107,2024-05-07,107,Facilitating Release of Under-utilised Public Spaces to Serve Persons with Disabilities,WA
2024-05-07-T-108,2024-05-07,108,"Care and Protection Orders Issued to Parents or Guardians Ordered to Undergo Counselling, Psychotherapy or Other Treatment",WA
2024-05-07-T-109,2024-05-07,109,Disparity in Subsidised Cancer Treatments and Drugs for Patients in Class B and Class C Wards,WA
2024-05-07-T-110,2024-05-07,110,Inclusion of Non-surgical Dental Treatments in MediSave Coverage,WA
2024-05-07-T-111,2024-05-07,111,State of Dental Health of Singaporeans and Inclusion of Dental Care in Healthier SG,WA
2024-05-07-T-112,2024-05-07,112,Prevalence of Edentulism in Different Age Groups and Measures Taken,WA
2024-05-07-T-113,2024-05-07,113,Approvals Granted for Renovation Works and Pollution Mitigation Measures Introduced,WA
2024-05-07-T-114,2024-05-07,114,Effectiveness of HDB's Barrier-free Parking Pilot Project and Its Technology Compatibility with ERP 2.0,WA
2024-05-07-T-115,2024-05-07,115,Measures to Protect Marine Ecosystems from Effects of Rising Temperatures and El Nino,WA
2024-05-07-T-116,2024-05-07,116,Use of Bi-coloured Parking Lots for Overnight and Daytime Season Parking,WA
2024-05-07-T-117,2024-05-07,117,Data on Applicants with Shared Care and Control of Children Purchasing or Renting HDB Flats,WA
2024-05-07-T-118,2024-05-07,118,Effectiveness of Surveillance and Enforcement Measures to Address Bird-feeding Issue,WA
2024-05-07-T-119,2024-05-07,119,"Plan to Combat Scam Callers Spoofing Local Handphone Numbers without ""+65"" Prefix",WA
2024-05-07-T-120,2024-05-07,120,Criteria for and Restrictions on Use of Cultural Matching Fund Grants for Charities and Institutions of Public Character,WA
2024-05-07-T-121,2024-05-07,121,Preventing Employment Agencies from Exerting Undue Influence on Migrant Domestic Workers against Employers,WA
2024-05-07-T-122,2024-05-07,122,Ensuring Fair Process for Employers in Domestic Worker Disputes,WA
2024-05-07-T-123,2024-05-07,123,Addressing Misconceptions Regarding Closure of CPF Special Account,WA
2024-05-07-T-124,2024-05-07,124,Reducing Heat-related Incidents at Work and Measures to Make Workplaces More Heat-resilient,WA
2024-05-07-T-125,2024-05-07,125,Addressing Employers' Concerns over Flexible Work Arrangements and Convincing Them of Benefits for Hiring,WA
2024-05-07-T-126,2024-05-07,126,Wage Breakdown of Local and Foreign PMETs by Industry from 2020 to 2023,WA
2024-05-07-T-127,2024-05-07,127,Safeguards for Migrant Workers involved in Wrongful Dismissal Claims,WA
2024-05-07-T-128,2024-05-07,128,Employment Pass Applications for Jobs Initially Posted on MyCareersFuture Portal,WA
2024-05-07-T-129,2024-05-07,129,Foreign Manpower Concessions Provided under Shared Stay-in Senior Care Services Sandbox and Other Pilot Schemes,WA
2024-05-07-T-130,2024-05-07,130,Demolition of Semi-permanent Quick Build Dormitories at Choa Chu Kang Grove,WA
2024-05-07-T-131,2024-05-07,131,Impact of SG Bike's Exit on Bike Users,WA
2024-05-07-T-132,2024-05-07,132,Fortifying Changi Airport against Extreme Rainfall Due to Climate Change,WA
2024-05-07-T-133,2024-05-07,133,Safety of Existing Fleet of Singapore-registered Vessels and Their Compliance with Statutory Requirements,WA
2024-05-07-T-134,2024-05-07,134,Enforcement Measures against Owners of Vehicles with Lapsed Road Tax,WA
2024-05-07-T-135,2024-05-07,135,Extension of Concessionary Fares for Students in Transition from Pre-university to University Levels,WA
2024-05-07-T-136,2024-05-07,136,Assessment of Hydrogen Fuel Cell Electric Vehicle Trials in Singapore,WA
